titulo,titulo_normalizado,categoria_estimada,energia_kcal_100g,proteinas_100g,hidratos_100g,grasas_100g,grasas_saturadas_100g,azucares_100g,fibra_100g,sal_100g,energia_calculada_kcal,energia_error_pct,energia_consistente,densidad_proteica_kcal,densidad_carbohidrato_kcal,densidad_grasa_kcal,energy_source,data_quality
Bacón Hacendado cintas,bacón hacendado cintas,otros,293,16.6,0.5,25,9.9,0.5,,2.065,293.4,0.001363,True,0.056655,0.001706,0.085324,original,ok
Bacón Oscar Mayer lonchas,bacón oscar mayer lonchas,otros,386,14,1.4,36,12,1.4,,2.8,385.6,0.001037,True,0.036269,0.003627,0.093264,original,ok
Bacón ahumado La Selva lonchas,bacón ahumado la selva lonchas,otros,349,14.9,1,31.7,12.7,1,,2.36,348.9,0.000287,True,0.042693,0.002865,0.090831,original,ok
Bacón ahumado sin corteza La Selva,bacón ahumado sin corteza la selva,otros,,,,,,,,,0,,,,,,original,missing_macros
Baguette masa madre,baguette masa madre,otros,268,9.2,55,1.1,,2.3,2.3,1.57,266.7,0.004874,True,0.034328,0.205224,0.004104,original,ok
Baguette sin gluten,baguette sin gluten,otros,255,2.2,36.2,9.5,1,2.3,,1.71,239.1,0.066499,True,0.008627,0.141961,0.037255,original,ok
Banana,banana,otros,975,39.1,126.9,19.5,0,19.5,19.4,1856.2,839.5,0.161406,False,0.040103,0.130154,0.02,original,suspicious_values
"Banderillas Gildas Hacendado pinchos de aceituna, anchoa y guindilla","banderillas gildas hacendado pinchos de aceituna, anchoa y guindilla",otros,231,5.7,0.7,22.4,3.1,0,0,3.3,227.2,0.016725,True,0.024675,0.00303,0.09697,original,ok
Banderillas dulces Hacendado,banderillas dulces hacendado,otros,41,0.9,1.6,3.1,0.6,0.9,1.7,2.1625,37.9,0.081794,True,0.021951,0.039024,0.07561,original,ok
Banderillas picantes Hacendado,banderillas picantes hacendado,otros,39,0.8,4.5,1.9,1,0.5,0.5,1.9,38.3,0.018277,True,0.020513,0.115385,0.048718,original,ok
Barquillos con crema de avellanas Hacendado,barquillos con crema de avellanas hacendado,otros,517,6,62.5,26.4,23.9,38,,0.36,511.6,0.010555,True,0.011605,0.12089,0.051064,original,ok
Barquillos rellenos con crema de cacao Hacendado,barquillos rellenos con crema de cacao hacendado,otros,522,5.5,61,27.7,25.1,38.9,0,0.36,515.3,0.013002,True,0.010536,0.116858,0.053065,original,ok
Barquillos rellenos de nata Hacendado 0% azúcares añadidos,barquillos rellenos de nata hacendado 0% azúcares añadidos,otros,434,3,64,23,13,1,,0.23,475,0.086316,True,0.006912,0.147465,0.052995,original,ok
Barquillos rellenos sabor nata Hacendado,barquillos rellenos sabor nata hacendado,otros,498,3.4,69,23,12,42,,0.3,496.6,0.002819,True,0.006827,0.138554,0.046185,original,ok
"Barra de helado sabor vainilla, chocolate y nata Hacendado","barra de helado sabor vainilla, chocolate y nata hacendado",otros,197,3.3,23,10,7.1,22,,0.16,195.2,0.009221,True,0.016751,0.116751,0.050761,original,ok
Barra de pan,barra de pan,carbohidratos,267,8.6,55,1,0.2,2.3,2.1,1.475,263.4,0.013667,True,0.03221,0.205993,0.003745,original,ok
Barra de pan campesina masa madre,barra de pan campesina masa madre,carbohidratos,1532.1,25.5,280.7,44.6,19.1,114.6,12.9,1785.7,1626.2,0.057865,True,0.016644,0.183213,0.02911,original,suspicious_values
Barra de pan campesina masa madre rebanada,barra de pan campesina masa madre rebanada,carbohidratos,1532.1,25.5,280.7,44.6,19.1,114.6,12.9,1785.7,1626.2,0.057865,True,0.016644,0.183213,0.02911,original,suspicious_values
Barra de pan espiga,barra de pan espiga,carbohidratos,1532.1,25.5,280.7,44.6,19.1,114.6,12.9,1785.7,1626.2,0.057865,True,0.016644,0.183213,0.02911,original,suspicious_values
Barra de pan espiga rebanado,barra de pan espiga rebanado,carbohidratos,1532.1,25.5,280.7,44.6,19.1,114.6,12.9,1785.7,1626.2,0.057865,True,0.016644,0.183213,0.02911,original,suspicious_values
Barra de pan rebanada,barra de pan rebanada,carbohidratos,267,8.6,55,1,0.2,2.3,2.1,1.475,263.4,0.013667,True,0.03221,0.205993,0.003745,original,ok
