titulo,titulo_normalizado,categoria_estimada,energia_kcal_100g,proteinas_100g,hidratos_100g,grasas_100g,grasas_saturadas_100g,azucares_100g,fibra_100g,sal_100g,energia_calculada_kcal,energia_error_pct,energia_consistente,densidad_proteica_kcal,densidad_carbohidrato_kcal,densidad_grasa_kcal,energy_source,data_quality
Migas Hacendado,migas hacendado,otros,311,7.5,35,15,4.5,1.9,,1.8,305,0.019672,True,0.024116,0.11254,0.048232,original,ok
Migas de bacalao al estilo inglés Hacendado,migas de bacalao al estilo inglés hacendado,otros,387.1,14.3,71.4,4.1,0,2,2,652.9,379.7,0.019489,True,0.036941,0.184448,0.010592,original,ok
Migas de bacalao desaladas Hacendado,migas de bacalao desaladas hacendado,otros,387.1,14.3,71.4,4.1,0,2,2,652.9,379.7,0.019489,True,0.036941,0.184448,0.010592,original,ok
Migas de bacalao sin piel MareDeus ultracongeladas,migas de bacalao sin piel maredeus ultracongeladas,otros,47,14.48,2,3,0.02,1,,2,92.92,0.494189,False,0.308085,0.042553,0.06383,original,ok
Migas de bacalao sin piel MareDeus ultracongeladas,migas de bacalao sin piel maredeus ultracongeladas,otros,47,14.48,2,3,0.02,1,,2,92.92,0.494189,False,0.308085,0.042553,0.06383,original,ok
Migas de bonito del norte en aceite de oliva Hacendado,migas de bonito del norte en aceite de oliva hacendado,grasas,192,25,0.6,10,1.6,0.5,,1.2775,192.4,0.002079,True,0.130208,0.003125,0.052083,original,ok
Migas de coliflor Hacendado ultracongeladas,migas de coliflor hacendado ultracongeladas,otros,20,1.3,2.5,0,0,1.6,,0.39,15.2,0.315789,False,0.065,0.125,0,original,ok
Mini biscotes de trigo Diatosta,mini biscotes de trigo diatosta,otros,375,12.5,68.8,6.25,,6.25,6.25,1.02,381.45,0.016909,True,0.033333,0.183467,0.016667,original,ok
Mini burgers de pollo,mini burgers de pollo,proteinas,148,16,4.3,7.5,2.4,1.4,,1.9,148.7,0.004707,True,0.108108,0.029054,0.050676,original,ok
Mini burgers de vacuno y cerdo,mini burgers de vacuno y cerdo,otros,221,17.7,1.5,16,7.1,0.8,,2,220.8,0.000906,True,0.08009,0.006787,0.072398,original,ok
Mini burgers vegetales Hacendado con espinacas y zanahoria,mini burgers vegetales hacendado con espinacas y zanahoria,otros,233,10.7,16.5,14.7,1.8,1.7,4.2,1.2775,241.1,0.033596,True,0.045923,0.070815,0.06309,original,ok
Mini cereales rellenos de leche Hacendado,mini cereales rellenos de leche hacendado,carbohidratos,431,9.7,66,13.7,5.8,33,,0.81,426.1,0.0115,True,0.022506,0.153132,0.031787,original,ok
Mini chorizo ibérico extra La Hacienda del ibérico,mini chorizo ibérico extra la hacienda del ibérico,otros,493,24,1.3,43.6,17.7,0.8,,3.6,493.6,0.001216,True,0.048682,0.002637,0.088438,original,ok
Mini magdalenas con pepitas de chocolate con leche Hacendado,mini magdalenas con pepitas de chocolate con leche hacendado,otros,457,5.4,54,24,4,24,1.5,0.53,453.6,0.007496,True,0.011816,0.118162,0.052516,original,ok
Mini muslo de pollo 98% La Carloteña asado al horno,mini muslo de pollo 98% la carloteña asado al horno,proteinas,173,19.7,0.8,10.1,3.5,,,4,172.9,0.000578,True,0.113873,0.004624,0.058382,original,ok
Mini pizzas jamón y queso Fiesta ultracongeladas,mini pizzas jamón y queso fiesta ultracongeladas,otros,0,0,0,0,,0,,5,0,,,,,,original,suspicious_values
Mini pizzas jamón y queso Fiesta ultracongeladas,mini pizzas jamón y queso fiesta ultracongeladas,otros,0,0,0,0,,0,,5,0,,,,,,original,suspicious_values
Mini salchichón ibérico extra La Hacienda del ibérico,mini salchichón ibérico extra la hacienda del ibérico,otros,492,25.6,1.8,42.6,17,1.5,,3.5,493,0.002028,True,0.052033,0.003659,0.086585,original,ok
Mini taquitos de jamón Incarlopsa,mini taquitos de jamón incarlopsa,otros,234,33.7,1,10.6,3.44,0.556,,3.6,234.2,0.000854,True,0.144017,0.004274,0.045299,original,ok
Mini tortillas de trigo Hacendado,mini tortillas de trigo hacendado,otros,303,8,51,6.4,1.8,1.8,4.4,1.6,293.6,0.032016,True,0.026403,0.168317,0.021122,original,ok
Mini tostadas de trigo Hacendado extra finas,mini tostadas de trigo hacendado extra finas,otros,384,11.8,76.9,2.4,1.3,3.2,3.9,2.1,376.4,0.020191,True,0.030729,0.20026,0.00625,original,ok
Mistela dulce de moscatel Mig Segle DO Valencia,mistela dulce de moscatel mig segle do valencia,otros,,,,,,,,,0,,,,,,original,missing_macros
Mix de encurtidos Hacendado,mix de encurtidos hacendado,otros,40,1.1,0.9,3.1,0.6,0.5,2.1,1.75,35.9,0.114206,True,0.0275,0.0225,0.0775,original,ok
Mix de pepinillos y cebollitas Hacendado,mix de pepinillos y cebollitas hacendado,otros,19,1.2,2.6,0.5,0.2,1.7,0.9,1.3,19.7,0.035533,True,0.063158,0.136842,0.026316,original,ok
Mix de setas intenso,mix de setas intenso,otros,417,8.7,72.2,10.3,1.9,8,4.6,707,416.3,0.001681,True,0.020863,0.173141,0.0247,original,ok
Mix frutas tropical Hacendado ultracongeladas,mix frutas tropical hacendado ultracongeladas,otros,59,0.7,12.4,0.2,0,,1.6,0,54.2,0.088561,True,0.011864,0.210169,0.00339,original,ok
Mix frutos rojos Hacendado ultracongeladas,mix frutos rojos hacendado ultracongeladas,otros,39,0.9,5.5,0,0,5.2,,0,25.6,0.523437,False,0.023077,0.141026,0,original,ok
Mix mini barritas de chocolate Hacendado,mix mini barritas de chocolate hacendado,otros,481,5.3,60,24,14,51,2,0.53,477.2,0.007963,True,0.011019,0.12474,0.049896,original,ok
Mojama de atún extra Hacendado lonchas,mojama de atún extra hacendado lonchas,otros,166,40,0.6,0.5,0.1,0.5,,4.23,166.9,0.005392,True,0.240964,0.003614,0.003012,original,ok
Molinillo mix pimientas Hacendado,molinillo mix pimientas hacendado,otros,,,,,,,,,0,,,,,,original,missing_macros
Molinillo pimienta negra Hacendado,molinillo pimienta negra hacendado,otros,,,,,,,,,0,,,,,,original,missing_macros
Mollejas de pollo,mollejas de pollo,proteinas,151.8,23.5,0,6.9,4.8,0,0,249.4,156.1,0.027546,True,0.154809,0,0.045455,original,ok
Moras,moras,otros,47.5,1.6,12.5,0,0,6.2,6.2,10,56.4,0.157801,False,0.033684,0.263158,0,original,ok
Morcilla de arroz y cebolla,morcilla de arroz y cebolla,carbohidratos,461.4,24.6,24.6,30.7,10.8,3.1,3.2,1231.6,473.1,0.024731,True,0.053316,0.053316,0.066537,original,ok
Morcilla de cebolla oreada,morcilla de cebolla oreada,otros,461.4,24.6,24.6,30.7,10.8,3.1,3.2,1231.6,473.1,0.024731,True,0.053316,0.053316,0.066537,original,ok
Morralla,morralla,otros,277,11,21.7,16.2,3.7,1.6,1.5,402,276.6,0.001446,True,0.039711,0.078339,0.058484,original,ok
Mortadela Hacendado,mortadela hacendado,otros,,,,,,,,,0,,,,,,original,missing_macros
Mortadela Hacendado lonchas,mortadela hacendado lonchas,otros,244,13.2,7.3,18,6.5,1.1,,2,244,0,True,0.054098,0.029918,0.07377,original,ok
Mortadela con aceitunas Hacendado lonchas,mortadela con aceitunas hacendado lonchas,otros,244,10.5,5.6,20,6.7,0.7,,2.1,244.4,0.001637,True,0.043033,0.022951,0.081967,original,ok
Mortadela de pavo Hacendado finas lonchas,mortadela de pavo hacendado finas lonchas,proteinas,346,21.8,15,22,3.4,1.6,,4.75,345.2,0.002317,True,0.063006,0.043353,0.063584,original,ok
Mortadela de pavo con aceitunas Hacendado finas lonchas,mortadela de pavo con aceitunas hacendado finas lonchas,proteinas,169,10.5,5.2,11.8,1.9,1,,1.9675,169,0,True,0.06213,0.030769,0.069822,original,ok
Mostaza clásica Hacendado,mostaza clásica hacendado,otros,75,3.8,2.3,5.3,0.3,1,,2.6,72.1,0.040222,True,0.050667,0.030667,0.070667,original,ok
Mostaza de Dijon Hacendado,mostaza de dijon hacendado,otros,149,7.2,1.8,11,0.77,1.8,,6.1,135,0.103704,True,0.048322,0.012081,0.073826,original,ok
Mosto tinto Casón Histórico,mosto tinto casón histórico,otros,62,0.2,15.3,0,0,15.3,,0,62,0,True,0.003226,0.246774,0,original,ok
Mousse de chocolate Hacendado,mousse de chocolate hacendado,otros,178,4.8,24,6.7,4.2,23,1.4,0.11,175.5,0.014245,True,0.026966,0.134831,0.03764,original,ok
Mousse de pato Hacendado,mousse de pato hacendado,otros,212,4.2,16.2,15.1,8.1,15.1,0.6,34,217.5,0.025287,True,0.019811,0.076415,0.071226,original,ok
Mousse de queso Hacendado congelado,mousse de queso hacendado congelado,otros,322,3.4,34,19,13,26,0.5,0.72,320.6,0.004367,True,0.010559,0.10559,0.059006,original,ok
Mousse de queso Hacendado congelado,mousse de queso hacendado congelado,otros,322,3.4,34,19,13,26,0.5,0.72,320.6,0.004367,True,0.010559,0.10559,0.059006,original,ok
Mousse de queso de vaca con ajo y finas hierbas Hacendado,mousse de queso de vaca con ajo y finas hierbas hacendado,otros,208,3.8,5.5,19,14,3.9,,1.5,208.2,0.000961,True,0.018269,0.026442,0.091346,original,ok
Mousse sabor chocolate +Proteínas Hacendado 10 g proteínas,mousse sabor chocolate +proteínas hacendado 10 g proteínas,otros,74,10,4.5,1.5,1,4,1,0.0975,71.5,0.034965,True,0.135135,0.060811,0.02027,original,ok
Mozzarella fresca de vaca Hacendado,mozzarella fresca de vaca hacendado,otros,1146.4,76.4,12.8,89.3,51.1,0,0,639.3,1160.5,0.01215,True,0.066643,0.011165,0.077896,original,suspicious_values
Mozzarella fresca de vaca Hacendado en perlas,mozzarella fresca de vaca hacendado en perlas,otros,1146.4,76.4,12.8,89.3,51.1,0,0,639.3,1160.5,0.01215,True,0.066643,0.011165,0.077896,original,suspicious_values
Mozzarella fresca di bufala campana Hacendado,mozzarella fresca di bufala campana hacendado,carbohidratos,247,14,0.5,21,14,0.5,,0.59,247,0,True,0.05668,0.002024,0.08502,original,ok
Mozzarella fresca light de vaca Hacendado,mozzarella fresca light de vaca hacendado,otros,153,17,1,9,6,0.8,,1.5,153,0,True,0.111111,0.006536,0.058824,original,ok
Muesli Crunchy Hacendado 0% azúcares añadidos y 0% edulcorantes,muesli crunchy hacendado 0% azúcares añadidos y 0% edulcorantes,otros,401,8.8,52,12,1.4,3.2,23,0.08,351.2,0.1418,True,0.021945,0.129676,0.029925,original,ok
Muesli Crunchy Hacendado con chocolate,muesli crunchy hacendado con chocolate,otros,434,8.4,61,16,4.5,24,6,0.43,421.6,0.029412,True,0.019355,0.140553,0.036866,original,ok
Muesli Crunchy Hacendado con fruta,muesli crunchy hacendado con fruta,otros,427,6.3,66,14,5,27,6,0.5,415.2,0.02842,True,0.014754,0.154567,0.032787,original,ok
Muesli Crunchy Hacendado con frutos secos,muesli crunchy hacendado con frutos secos,grasas,458,8,63,18,2,22,6,0.5,446,0.026906,True,0.017467,0.137555,0.039301,original,ok
Muesli Hacendado 50% frutas y frutos secos,muesli hacendado 50% frutas y frutos secos,grasas,367,6.8,60,9.3,5.1,26,7.8,0.11,350.9,0.045882,True,0.018529,0.163488,0.025341,original,ok
Muesli Hacendado con frutas,muesli hacendado con frutas,otros,361,9.1,59,7.6,3.9,15,10,0.08,340.8,0.059272,True,0.025208,0.163435,0.021053,original,ok
"Muesli Hacendado con quinoa, chía y chocolate negro","muesli hacendado con quinoa, chía y chocolate negro",otros,416,9.8,60,13,4.3,18,10,0.11,396.2,0.049975,True,0.023558,0.144231,0.03125,original,ok
Muffin chocolate 3%,muffin chocolate 3%,otros,220,3,33,3,0,19,1,160,171,0.28655,False,0.013636,0.15,0.013636,original,ok
Muslito de pollo 97% La Carloteña asado al horno lonchas,muslito de pollo 97% la carloteña asado al horno lonchas,proteinas,122,17,0.5,6,,,,1.475,124,0.016129,True,0.139344,0.004098,0.04918,original,ok
Muslitos de surimi Hacendado ultracongelados,muslitos de surimi hacendado ultracongelados,otros,159,8.2,24.1,2.5,0.4,2.5,,2.03,151.7,0.048121,True,0.051572,0.151572,0.015723,original,ok
Muslitos de surimi Hacendado ultracongelados,muslitos de surimi hacendado ultracongelados,otros,159,8.2,24.1,2.5,0.4,2.5,,2.03,151.7,0.048121,True,0.051572,0.151572,0.015723,original,ok
Muslo de pato confitado Hacendado,muslo de pato confitado hacendado,otros,236,28.4,6.5,10.5,3.5,0.4,0.3,901,234.1,0.008116,True,0.120339,0.027542,0.044492,original,ok
Muslos de pollo deshuesados con piel,muslos de pollo deshuesados con piel,proteinas,236,28.4,6.5,10.5,3.5,0.4,0.3,901,234.1,0.008116,True,0.120339,0.027542,0.044492,original,ok
Nabicol,nabicol,otros,33.8,0,9.3,0.4,0,6.8,2.1,0,40.8,0.171569,False,0,0.275148,0.011834,original,ok
Nachos Hacendado,nachos hacendado,otros,481,8.2,61,22,2.3,3.1,6.3,0.5,474.8,0.013058,True,0.017048,0.126819,0.045738,original,ok
Nachos tex-mex sabor queso Hacendado,nachos tex-mex sabor queso hacendado,otros,514,5.4,57,28,3.5,2.6,5.4,1,501.6,0.024721,True,0.010506,0.110895,0.054475,original,ok
Napolitana de chocolate 35%,napolitana de chocolate 35%,otros,95.7,2.1,13.3,3.8,0.6,1.9,2.4,312.9,95.8,0.001044,True,0.021944,0.138976,0.039707,original,ok
Napolitana de crema 31%,napolitana de crema 31%,otros,95.7,2.1,13.3,3.8,0.6,1.9,2.4,312.9,95.8,0.001044,True,0.021944,0.138976,0.039707,original,ok
Napolitana mixta,napolitana mixta,otros,95.7,2.1,13.3,3.8,0.6,1.9,2.4,312.9,95.8,0.001044,True,0.021944,0.138976,0.039707,original,ok
Napolitanas con relleno de cacao Hacendado,napolitanas con relleno de cacao hacendado,otros,441,5.6,43,27,12,21,2.9,0.59,437.4,0.00823,True,0.012698,0.097506,0.061224,original,ok
Napolitanas con relleno sabor crema Hacendado,napolitanas con relleno sabor crema hacendado,otros,386.5,7,44,21,11,21,27,0.65,393,0.016539,True,0.018111,0.113842,0.054334,original,ok
Naranja de mesa,naranja de mesa,otros,13.9,0,3.4,0,,3.3,,3.1,13.6,0.022059,True,0,0.244604,0,original,ok
Naranjas,naranjas,otros,13.9,0,3.4,0,,3.3,,3.1,13.6,0.022059,True,0,0.244604,0,original,ok
Naranjas,naranjas,otros,42,0.8,8.6,0,0,8.6,2,0,37.6,0.117021,True,0.019048,0.204762,0,original,ok
Nata fresca para cocinar Hacendado,nata fresca para cocinar hacendado,otros,284,2.4,1.9,29.7,19.3,1.9,,0.05,284.5,0.001757,True,0.008451,0.00669,0.104577,original,ok
Nata ligera para cocinar Hacendado,nata ligera para cocinar hacendado,otros,163,2,5,15,10,3,,0.1,163,0,True,0.01227,0.030675,0.092025,original,ok
Nata ligera para cocinar Hacendado,nata ligera para cocinar hacendado,otros,,,,,,,,,0,,,,,,original,missing_macros
Nata ligera para cocinar sin lactosa Hacendado,nata ligera para cocinar sin lactosa hacendado,otros,163,2,5,15,10,3,,0.1,163,0,True,0.01227,0.030675,0.092025,original,ok
Nata montada azucarada Hacendado,nata montada azucarada hacendado,otros,311,1.9,15,27,19,14,0,0.086,310.6,0.001288,True,0.006109,0.048232,0.086817,original,ok
Nata para montar Hacendado,nata para montar hacendado,otros,,,,,,,,,0,,,,,,original,missing_macros
Nata para montar Hacendado,nata para montar hacendado,otros,335,2,3.1,35,24,3.1,,0.0975,335.4,0.001193,True,0.00597,0.009254,0.104478,original,ok
"Natillas con chocolate +Proteínas Hacendado 1,3 g MG 10 g proteínas","natillas con chocolate +proteínas hacendado 1,3 g mg 10 g proteínas",otros,81,8.4,8.7,1.1,0.6,6.6,1.3,0.1,78.3,0.034483,True,0.103704,0.107407,0.01358,original,ok
"Natillas con chocolate +Proteínas Hacendado 1,3 g MG 10 g proteínas","natillas con chocolate +proteínas hacendado 1,3 g mg 10 g proteínas",otros,81,8.4,8.7,1.1,0.6,6.6,1.3,0.1,78.3,0.034483,True,0.103704,0.107407,0.01358,original,ok
Natillas de chocolate Danet,natillas de chocolate danet,otros,121,3.2,19.9,3,1.8,17.5,,0.13,119.4,0.0134,True,0.026446,0.164463,0.024793,original,ok
Natillas de chocolate con leche Hacendado,natillas de chocolate con leche hacendado,otros,126,3.68,19,3.68,,,,,123.84,0.017442,True,0.029206,0.150794,0.029206,original,ok
Natillas de vainilla Danet,natillas de vainilla danet,otros,109,3.1,17.7,2.9,1.7,14.8,0,0.13,109.3,0.002745,True,0.02844,0.162385,0.026606,original,ok
Natillas sabor vainilla +Proteínas Hacendado 12 g proteínas,natillas sabor vainilla +proteínas hacendado 12 g proteínas,otros,76.7,10,5.83,1.5,1,3.58,,0.0975,76.82,0.001562,True,0.130378,0.07601,0.019557,original,ok
Natillas sabor vainilla +Proteínas Hacendado 12 g proteínas,natillas sabor vainilla +proteínas hacendado 12 g proteínas,otros,76.7,10,5.83,1.5,1,3.58,,0.0975,76.82,0.001562,True,0.130378,0.07601,0.019557,original,ok
Natillas sabor vainilla Hacendado,natillas sabor vainilla hacendado,otros,127,3.8,18.1,4.4,3.1,15.3,,0.18,127.2,0.001572,True,0.029921,0.14252,0.034646,original,ok
Natillas sabor vainilla con galleta Hacendado,natillas sabor vainilla con galleta hacendado,otros,4687.5,0,1093.8,0,0,0,0,0,4375.2,0.07138,True,0,0.233344,0,original,suspicious_values
Navajas,navajas,otros,277,11,21.7,16.2,3.7,1.6,1.5,402,276.6,0.001446,True,0.039711,0.078339,0.058484,original,ok
Nidos al huevo Hacendado,nidos al huevo hacendado,proteinas,357,14,67,2.7,0.8,3.5,4.1,0.05,348.3,0.024978,True,0.039216,0.187675,0.007563,original,ok
Noodles Ramen,noodles ramen,otros,179,6.5,32,2.4,0.3,0.5,2,0.2,175.6,0.019362,True,0.036313,0.178771,0.013408,original,ok
Noodles Yakisoba con carne y verduras,noodles yakisoba con carne y verduras,otros,685.2,20.6,144.1,3.4,0,3.4,6.9,651.9,689.4,0.006092,True,0.030064,0.210304,0.004962,original,ok
Noodles de arroz Hacendado,noodles de arroz hacendado,carbohidratos,347,5.3,79,0.7,0.3,1.1,1.3,0.57,343.5,0.010189,True,0.015274,0.227666,0.002017,original,ok
Nuez Pecana natural Hacendado pelada,nuez pecana natural hacendado pelada,grasas,715,11.4,4,72.2,6.6,3.2,10,0,711.4,0.00506,True,0.015944,0.005594,0.100979,original,ok
Nuez de Brasil natural Hacendado,nuez de brasil natural hacendado,grasas,674,16.7,5.1,63.4,15.1,1.6,8.3,0.000925,657.8,0.024628,True,0.024777,0.007567,0.094065,original,ok
Nuez macadamia Hacendado tostada con sal,nuez macadamia hacendado tostada con sal,grasas,758,8.6,5.8,77,13,3.5,6.3,0.19,750.6,0.009859,True,0.011346,0.007652,0.101583,original,ok
Nuez moscada molida Hacendado,nuez moscada molida hacendado,grasas,,,,,,,,,0,,,,,,original,missing_macros
Nuez natural Hacendado,nuez natural hacendado,grasas,653.9,15.23,13.71,65.21,8.93,2.61,6.7,2,702.65,0.06938,True,0.023291,0.020967,0.099725,original,ok
Nuez natural Hacendado pelada,nuez natural hacendado pelada,grasas,579,21,10,50,4.5,0.7,7.6,0,574,0.008711,True,0.036269,0.017271,0.086356,original,ok
Nuez troceada pelada Hacendado,nuez troceada pelada hacendado,grasas,709,18,2.9,68.2,,,5.9,0,697.4,0.016633,True,0.025388,0.00409,0.096192,original,ok
Nuggets de pavo Hacendado ultracongelados,nuggets de pavo hacendado ultracongelados,proteinas,218,12.3,15.2,11.8,1.8,0.3,0.7,1.23,216.2,0.008326,True,0.056422,0.069725,0.054128,original,ok
Nuggets de pavo Hacendado ultracongelados,nuggets de pavo hacendado ultracongelados,proteinas,218,12.3,15.2,11.8,1.8,0.3,0.7,1.23,216.2,0.008326,True,0.056422,0.069725,0.054128,original,ok
Nuggets de pollo Hacendado ultracongelados,nuggets de pollo hacendado ultracongelados,proteinas,228,13.1,22,9.4,1.5,1.5,,1.9,225,0.013333,True,0.057456,0.096491,0.041228,original,ok
Nuggets de pollo Hacendado ultracongelados,nuggets de pollo hacendado ultracongelados,proteinas,228,13.1,22,9.4,1.5,1.5,,1.9,225,0.013333,True,0.057456,0.096491,0.041228,original,ok
Nécora cocida Hacendado congelada,nécora cocida hacendado congelada,otros,84,17.7,0.4,1.3,0.42,0,,0.78,84.1,0.001189,True,0.210714,0.004762,0.015476,original,ok
Nécora cocida Hacendado congelada,nécora cocida hacendado congelada,otros,84,17.7,0.4,1.3,0.42,0,,0.78,84.1,0.001189,True,0.210714,0.004762,0.015476,original,ok
Néctar de guayaba Hacendado,néctar de guayaba hacendado,otros,48,0.3,11.2,0.1,0,10,,0,46.9,0.023454,True,0.00625,0.233333,0.002083,original,ok
"Néctar de maracuyá Hacendado fruta de la pasión, mango, uva y manzana","néctar de maracuyá hacendado fruta de la pasión, mango, uva y manzana",otros,63,0.5,14.4,0.1,0,14.4,0.4,0,60.5,0.041322,True,0.007937,0.228571,0.001587,original,ok
Néctar de piña La Verja,néctar de piña la verja,otros,46,0.2,11.2,0,0,11.2,0,0,45.6,0.008772,True,0.004348,0.243478,0,original,ok
Obleas para helado Hacendado,obleas para helado hacendado,otros,390,11,79,2.6,1.2,1,3,0.3,383.4,0.017214,True,0.028205,0.202564,0.006667,original,ok
Obleas para helado Hacendado,obleas para helado hacendado,otros,390,11,79,2.6,1.2,1,3,0.3,383.4,0.017214,True,0.028205,0.202564,0.006667,original,ok
Oreja de cerdo cocida adobada Rogusa,oreja de cerdo cocida adobada rogusa,otros,234,22.4,0.6,15.8,5.3,0.4,0,1.3,234.2,0.000854,True,0.095726,0.002564,0.067521,original,ok
Orejones albaricoque Hacendado,orejones albaricoque hacendado,otros,208,2.8,46,0.04,0.04,34.9,6.5,0,195.56,0.063612,True,0.013462,0.221154,0.000192,original,ok
Orégano Hacendado,orégano hacendado,otros,,,,,,,,,0,,,,,,original,missing_macros
Osobuco de cerdo,osobuco de cerdo,otros,151.8,23.5,0,6.9,4.8,0,0,249.4,156.1,0.027546,True,0.154809,0,0.045455,original,ok
Pacharán Oibar,pacharán oibar,otros,,,,,,,,,0,,,,,,original,missing_macros
Pajaritas vegetales Hacendado,pajaritas vegetales hacendado,otros,347,13,68,1.5,0.3,3.1,4.2,0.03,337.5,0.028148,True,0.037464,0.195965,0.004323,original,ok
Paleta curada lonchas Paletas Marpa,paleta curada lonchas paletas marpa,otros,258,29.8,0.833,15.2,,,,58.9,259.33,0.005129,True,0.115504,0.003229,0.058915,original,ok
Paleta de cebo ibérica La Hacienda del Ibérico,paleta de cebo ibérica la hacienda del ibérico,otros,437,28.9,1,35.3,9.9,0.5,,3.6,437.3,0.000686,True,0.066133,0.002288,0.080778,original,ok
Paletilla de lechal entera congelada,paletilla de lechal entera congelada,otros,151.8,23.5,0,6.9,4.8,0,0,249.4,156.1,0.027546,True,0.154809,0,0.045455,original,ok
Paletilla de lechal entera congelada,paletilla de lechal entera congelada,otros,,,,,,,,,0,,,,,,original,missing_macros
Paletillas de conejo,paletillas de conejo,otros,151.8,23.5,0,6.9,4.8,0,0,249.4,156.1,0.027546,True,0.154809,0,0.045455,original,ok
Palitos con frutos secos Hacendado,palitos con frutos secos hacendado,grasas,487,13,54,23.4,2.6,2.7,4.3,3,478.6,0.017551,True,0.026694,0.110883,0.048049,original,ok
Palitos de merluza a la romana Hacendado ultracongelados,palitos de merluza a la romana hacendado ultracongelados,otros,193,6.8,31.5,4.4,0.5,1.5,,1.91,192.8,0.001037,True,0.035233,0.163212,0.022798,original,ok
Palitos de merluza a la romana Hacendado ultracongelados,palitos de merluza a la romana hacendado ultracongelados,otros,193,6.8,31.5,4.4,0.5,1.5,,1.91,192.8,0.001037,True,0.035233,0.163212,0.022798,original,ok
Palitos de pan 100% trigo espelta integral Anitin,palitos de pan 100% trigo espelta integral anitin,carbohidratos,522,13.5,41.9,31.7,3.3,1.2,7.7,1.8,506.9,0.029789,True,0.025862,0.080268,0.060728,original,ok
Palitos de pan con aceitunas Hacendado,palitos de pan con aceitunas hacendado,carbohidratos,479,10.8,57,22.1,2.3,2.2,4.2,0.0075,470.1,0.018932,True,0.022547,0.118998,0.046138,original,ok
Palitos de pan con cacahuete Anitin,palitos de pan con cacahuete anitin,carbohidratos,522,11.8,51,29.5,3.2,1.8,,1.1,516.7,0.010257,True,0.022605,0.097701,0.056513,original,ok
Palitos de pan con chocolate Anitin,palitos de pan con chocolate anitin,carbohidratos,485,8.1,61.4,22.5,5.3,13.1,2.1,0.68,480.5,0.009365,True,0.016701,0.126598,0.046392,original,ok
Palitos de pan con pipas Anitin,palitos de pan con pipas anitin,carbohidratos,521,11.4,49.2,30.2,2.8,1.3,3.4,2.3,514.2,0.013224,True,0.021881,0.094434,0.057965,original,ok
Palitos de pan con queso Anitin,palitos de pan con queso anitin,carbohidratos,503,12.1,51.6,26.9,4.4,1.2,3,1.7,496.9,0.012276,True,0.024056,0.102584,0.053479,original,ok
Palitos de surimi Hacendado,palitos de surimi hacendado,otros,90,7.9,12.4,0.8,0.2,3.5,0.9,1.53,88.4,0.0181,True,0.087778,0.137778,0.008889,original,ok
Palitos de surimi Hacendado ultracongelados,palitos de surimi hacendado ultracongelados,otros,100,7.4,11.2,2.5,0.3,1.3,,1.53,96.9,0.031992,True,0.074,0.112,0.025,original,ok
Palitos de surimi Hacendado ultracongelados,palitos de surimi hacendado ultracongelados,otros,100,7.4,11.2,2.5,0.3,1.3,,1.53,96.9,0.031992,True,0.074,0.112,0.025,original,ok
Palitos de zanahoria,palitos de zanahoria,otros,34,0.175,7,0.3,0.05,6.8,0,0,31.4,0.082803,True,0.005147,0.205882,0.008824,original,ok
Palmeritas Hacendado,palmeritas hacendado,otros,526.666667,6.3,54,31,17,24,1.8,0.71,520.2,0.012431,True,0.011962,0.102532,0.058861,original,ok
Palmito al natural entero Hacendado,palmito al natural entero hacendado,otros,29,2.2,4,0,0,0.5,,1,24.8,0.169355,False,0.075862,0.137931,0,original,ok
Palomitas caramelo Hacendado,palomitas caramelo hacendado,otros,402,4.4,86,3.7,0.4,54,3.7,0.57,394.9,0.017979,True,0.010945,0.21393,0.009204,original,ok
Palomitas de maíz con sal Hacendado para microondas,palomitas de maíz con sal hacendado para microondas,otros,,,,,,,,,0,,,,,,original,missing_macros
Palomitas de maíz dulces Hacendado para microondas,palomitas de maíz dulces hacendado para microondas,otros,490,6.3,64,22.1,9.1,31.6,5,0,480.1,0.020621,True,0.012857,0.130612,0.045102,original,ok
Palomitas de maíz sabor mantequilla Hacendado para microondas,palomitas de maíz sabor mantequilla hacendado para microondas,grasas,433,13.9,47,17.8,8,1,15.6,1.5,403.8,0.072313,True,0.032102,0.108545,0.041109,original,ok
Pan 5 semillas,pan 5 semillas,carbohidratos,274,11,45.3,4.6,0.7,2.4,5.1,0.845,266.6,0.027757,True,0.040146,0.165328,0.016788,original,ok
Pan Bagel Hacendado,pan bagel hacendado,carbohidratos,286,11,53,2.7,0.4,11,4,0.7175,280.3,0.020335,True,0.038462,0.185315,0.009441,original,ok
Pan Bretzel,pan bretzel,carbohidratos,367,9.4,56.4,11.6,2.2,12.5,2.3,228,367.6,0.001632,True,0.025613,0.153678,0.031608,original,ok
Pan Brioche Hacendado,pan brioche hacendado,carbohidratos,337,9.2,49,11,5.2,,2.5,0.865,331.8,0.015672,True,0.0273,0.145401,0.032641,original,ok
Pan Mini bocados Hacendado,pan mini bocados hacendado,carbohidratos,269,9,48,4,0.6,6.6,,1.2,264,0.018939,True,0.033457,0.178439,0.01487,original,ok
Pan Viena,pan viena,carbohidratos,367,9.4,56.4,11.6,2.2,12.5,2.3,228,367.6,0.001632,True,0.025613,0.153678,0.031608,original,ok
Pan campeón del mundo,pan campeón del mundo,carbohidratos,367,9.4,56.4,11.6,2.2,12.5,2.3,228,367.6,0.001632,True,0.025613,0.153678,0.031608,original,ok
